# Existing non-English catalog values that still exactly match English.
# Keep this file sorted. Remove entries as catalogs get translated.
# Format: relative/catalog/locale|key|English source string
templates/assets/app/i18n/ar-SA|brandKitDetail.addReference|Add reference
templates/assets/app/i18n/ar-SA|brandKitDetail.chooseReferenceImage|Choose from library
templates/assets/app/i18n/ar-SA|brandKitDetail.couldNotUploadReferenceImage|Could not upload reference image.
templates/assets/app/i18n/ar-SA|brandKitDetail.editReference|Edit reference
templates/assets/app/i18n/ar-SA|brandKitDetail.filledPerGeneration|Filled per generation
templates/assets/app/i18n/ar-SA|brandKitDetail.noReferenceImages|No reference images
templates/assets/app/i18n/ar-SA|brandKitDetail.referenceBoardEmptyDescription|Add named visual slots like "Steve" so every run can use the right people, products, or style references.
templates/assets/app/i18n/ar-SA|brandKitDetail.referenceBoardSubjectLimitError|Subject reference entries may attach at most 4 images total.
templates/assets/app/i18n/ar-SA|brandKitDetail.referenceBoardTotalLimitError|The reference board may attach at most 8 images total.
templates/assets/app/i18n/ar-SA|brandKitDetail.referenceBoard|Reference board
templates/assets/app/i18n/ar-SA|brandKitDetail.referenceDescriptionPlaceholder|e.g. This is Steve, our usual host. Render him faithfully.
templates/assets/app/i18n/ar-SA|brandKitDetail.referenceImageUploaded|Reference image uploaded.
templates/assets/app/i18n/ar-SA|brandKitDetail.referenceMode|Reference mode
templates/assets/app/i18n/ar-SA|brandKitDetail.removeReferenceImage|Remove reference image
templates/assets/app/i18n/ar-SA|brandKitDetail.removeReference|Remove reference
templates/assets/app/i18n/ar-SA|brandKitDetail.searchLibraryImages|Search library images
templates/assets/app/i18n/ar-SA|brandKitDetail.subjectReferenceModelTip|Tip: gemini-3-pro-image holds up to 5 people consistent — best for photo references.
templates/assets/app/i18n/ar-SA|brandKitDetail.uploadReferenceImage|Upload image
templates/assets/app/i18n/ar-SA|brandKitDetail.uploadingReferenceImage|Uploading...
templates/assets/app/i18n/de-DE|brandKitDetail.addReference|Add reference
templates/assets/app/i18n/de-DE|brandKitDetail.chooseReferenceImage|Choose from library
