# Existing raw visible UI literals.
# Keep this file sorted. Remove entries as surfaces move to i18n.
# Format: relative/source/path.tsx|Visible string
packages/docs/app/components/docBlocks.tsx|| Extract
templates/clips/app/components/editor/waveform.tsx|VISUAL_SILENCE_FLOOR && botY - topY
templates/clips/app/components/player/transcript-panel.tsx|gsk_…
templates/clips/app/components/recorder/storage-setup-card.tsx|AWS S3, Cloudflare R2, DigitalOcean Spaces, MinIO
templates/clips/app/components/workspace/notifications-list.tsx|["formatDate"], formatRelativeTime: ReturnType
templates/design/app/components/design/DesignCanvas.tsx|handle ? [
templates/design/app/components/design/FusionAppBanner.tsx|Publish failed
templates/design/app/components/design/FusionAppBanner.tsx|Push failed
templates/design/app/components/design/bridge/editor-chrome.bridge.ts|parentRect.right || clientY
templates/design/app/components/design/code-workbench/commands.ts|Command failed
templates/design/app/components/design/code-workbench/commands.ts|Could not save file
templates/design/app/components/design/code-workbench/editor/EditorTabs.tsx|Could not save file
templates/design/app/components/design/code-workbench/format/prettier-format.ts|Could not format file
templates/design/app/components/design/code-workbench/search/SearchView.tsx|Match Case
templates/design/app/components/design/code-workbench/search/SearchView.tsx|Use Regular Expression
templates/design/app/components/design/code-workbench/search/SearchView.tsx|Whole Word
templates/design/app/components/design/code-workbench/search/search-engine.ts|Invalid pattern
templates/design/app/components/design/code-workbench/store.tsx|Could not read file
templates/design/app/components/design/code-workbench/workspace/localhost-provider.ts|File changed on disk since it was last read
templates/design/app/components/design/code-workbench/workspace/types.ts|` or `localhost:
templates/design/app/components/design/edit-panel/effects-properties.tsx|, elementKey: string, nextLayers: readonly Pick
templates/design/app/components/design/multi-screen/screen-content-cache.ts|, existingScreenIds: ReadonlySet
templates/design/app/components/design/multi-screen/screen-content-cache.ts|, liveScreenIds: ReadonlySet
templates/design/app/pages/DesignEditor.tsx|Could not open component source
templates/design/app/pages/DesignEditor.tsx|Migration failed
templates/design/app/pages/design-editor/pending-edits.ts|, primaryInfo?: Pick
templates/tasks/app/components/custom-fields/FieldCreateBar.tsx|Create new field
templates/tasks/app/components/custom-fields/FieldCreateBar.tsx|Field title
templates/tasks/app/components/custom-fields/FieldCreateBar.tsx|Field type
templates/tasks/app/components/custom-fields/FieldCreateBar.tsx|Multi-select
templates/tasks/app/components/custom-fields/FieldCreateBar.tsx|New field title
templates/tasks/app/components/custom-fields/FieldCreateBar.tsx|Rich text
templates/tasks/app/components/custom-fields/FieldCreateBar.tsx|Single-select
templates/tasks/app/components/custom-fields/FieldsList.tsx|Field created.
templates/tasks/app/components/custom-fields/FieldsList.tsx|Fields list
templates/tasks/app/components/custom-fields/FieldsList.tsx|Task card fields
templates/tasks/app/components/custom-fields/FieldsListSkeleton.tsx|Fields list
templates/tasks/app/components/custom-fields/editor/FieldTitleSection.tsx|Edit field title
templates/tasks/app/components/custom-fields/editor/config/NumberConfigControl.tsx|Positive numbers only
templates/tasks/app/components/custom-fields/editor/config/SelectConfigControl.tsx|Add option
templates/tasks/app/components/inbox/InboxList.tsx|Add to inbox...
templates/tasks/app/components/inbox/InboxList.tsx|Could not delete selected inbox items.
templates/tasks/app/components/inbox/InboxList.tsx|Inbox list
templates/tasks/app/components/inbox/InboxListRow.tsx|Mark ready
templates/tasks/app/components/layout/Header.tsx|Open navigation
templates/tasks/app/components/layout/Layout.tsx|App navigation links
templates/tasks/app/components/layout/Layout.tsx|Open navigation
templates/tasks/app/components/shared/ListViewHeader.tsx|Show all
templates/tasks/app/components/shared/selection/ListSelectionBar.tsx|Could not mark selected items ready.
templates/tasks/app/components/shared/selection/ListSelectionBar.tsx|Could not update selected tasks.
templates/tasks/app/components/shared/selection/ListSelectionBar.tsx|Mark complete
templates/tasks/app/components/shared/selection/ListSelectionBar.tsx|Mark incomplete
templates/tasks/app/components/shared/selection/ListSelectionBar.tsx|Mark ready
templates/tasks/app/components/shared/selection/ListSelectionToolbar.tsx|Exit selection mode
templates/tasks/app/components/tasks/TaskList.tsx|Could not delete selected tasks.
templates/tasks/app/components/tasks/TaskListRow.tsx|Visible task fields
templates/tasks/app/components/tasks/fields/TaskFieldsSidebar.tsx|No fields defined.
templates/tasks/app/components/tasks/fields/TaskTitleSection.tsx|Edit task title
templates/tasks/app/components/tasks/fields/controls/RichTextValueControl.tsx|Bulleted list
templates/tasks/app/components/tasks/fields/controls/RichTextValueControl.tsx|Numbered list
